ID,site_id,상태값,정책명,최종추천제목,메인 키워드,메타설명,태그,발행 URL,발행일시,원본출처,우선발행점수,최종수정일,상태변경로그,wp_post_id,wp_permalink,wp_status,published_at,history,calculator_id,quality_score,quality_status,quality_failed_rules,quality_review_model,quality_reviewed_at,quality_prompt_version,last_synced_at,sync_flag,quality_resolved_at,_p2b_temp,_p2b_cleanup
20260718183321_ce7d,,재처리완료,퇴직금 계산,2026 퇴직금 계산 방법,,2026년 퇴직금 계산기를 사용하여 정확한 퇴직금 액수를 손쉽게 확인하세요. 필요한 정보 입력으로 빠르고 간단한 계산이 가능합니다.,"2026 퇴직금 계산, 퇴직금 계산기, 퇴직금 계산 방법",,2026-07-18 18:33:21,,,2026-07-18 18:34:25,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T18:33:22.635967"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""major"", ""critical_gates"": [], ""prompt_version"": ""e45622cf""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-18T18:34:27.025202"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""e45622cf"", ""published_post_id"": ""57""}]",calc_20260702221624_38e4,,REWRITE,"[{""gate"": ""G4"", ""grade"": ""major"", ""detail"": ""계산 예시 1개 → 최소 2개 필요"", ""priority"": 1}]",,2026-07-18 18:33:21,e45622cf,,,2026-07-18 18:34:25,,
20260718183418_2fa2,,발행완료,퇴직금 조건,퇴직금 조건 완벽 이해 2026,,퇴직금 조건에 대한 모든 것을 2026 기준으로 알아봅니다. 퇴직금 계산기 사용 방법과 관련 법률까지 자세히 안내합니다.,"퇴직금 조건, 퇴직금 계산기, 2026 퇴직금, 퇴직금 법률",http://salarymate.test/%ed%87%b4%ec%a7%81%ea%b8%88-%ec%a1%b0%ea%b1%b4-%ec%99%84%eb%b2%bd-%ec%9d%b4%ed%95%b4-2026/,2026-07-18 18:34:18,,,2026-07-18 18:34:18,,57,http://salarymate.test/%ed%87%b4%ec%a7%81%ea%b8%88-%ec%a1%b0%ea%b1%b4-%ec%99%84%eb%b2%bd-%ec%9d%b4%ed%95%b4-2026/,publish,2026-07-18 18:34:16,"[{""event"": ""publish"", ""at"": ""2026-07-18T18:34:19.240579"", ""wp_post_id"": 57}]",calc_20260702221624_38e4,83,WARN,"[{""gate"": ""S5"", ""grade"": ""major"", ""detail"": ""고유 정보가 적고 일반론 위주"", ""priority"": 1}]",gpt-4o,2026-07-18 18:34:16,e45622cf,2026-07-19 3:00:38,OK,,,
20260718185514_6c50,,재처리완료,퇴직금 계산법,2026 퇴직금 계산법 완벽 이해,,2026년 퇴직금 계산법을 완벽히 이해하고 싶으세요? 정확한 퇴직금을 손쉽게 계산하는 방법을 알아보세요. 세부적인 설명과 실질적인 예시로 가이드합니다.,"퇴직금 계산법, 퇴직금 계산, 2026 퇴직금",,2026-07-18 18:55:15,,,2026-07-18 18:58:02,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T18:55:16.119308"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""major"", ""critical_gates"": [], ""prompt_version"": ""e45622cf""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-18T18:58:03.996101"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""e45622cf"", ""published_post_id"": ""58""}]",calc_20260702221624_38e4,,REWRITE,"[{""gate"": ""G4"", ""grade"": ""major"", ""detail"": ""계산 예시 1개 → 최소 2개 필요"", ""priority"": 1}]",,2026-07-18 18:55:15,e45622cf,,,2026-07-18 18:58:02,,
20260718185619_21de,,재처리완료,퇴직금 계산 방법,2026 퇴직금 계산 방법 한눈에 보기,,최신 2026 퇴직금 계산 방법을 통해 정확하고 빠르게 퇴직금을 계산해보세요. 단계별 가이드를 제공합니다.,"퇴직금 계산 방법, 2026 퇴직금 계산, 퇴직금 계산기, 퇴직금 계산 공식, 퇴직금 산출 방법",,2026-07-18 18:56:20,,,2026-07-18 18:58:04,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T18:56:20.916666"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""major"", ""critical_gates"": [], ""prompt_version"": ""e45622cf""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-18T18:58:06.387457"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""e45622cf"", ""published_post_id"": ""58""}]",calc_20260702221624_38e4,,REWRITE,"[{""gate"": ""G4"", ""grade"": ""major"", ""detail"": ""계산 예시 1개 → 최소 2개 필요"", ""priority"": 1}, {""gate"": ""G7"", ""grade"": ""minor"", ""detail"": ""AI 문체 금지표현 1건: 살펴보겠습니다"", ""priority"": 2}]",,2026-07-18 18:56:20,e45622cf,,,2026-07-18 18:58:04,,
20260718185718_0634,,재처리완료,퇴직금 계산,퇴직금 계산 2026: 정확한 방법,,퇴직금 계산을 위한 2026년 최신 가이드를 제공합니다. 정확하고 간편하게 퇴직금을 계산해보세요.,"퇴직금 계산, 2026 퇴직금 계산, 퇴직금 계산 방법",,2026-07-18 18:57:18,,,2026-07-18 18:58:07,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-18T18:57:19.916280"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""major"", ""critical_gates"": [], ""prompt_version"": ""e45622cf""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-18T18:58:08.744316"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""e45622cf"", ""published_post_id"": ""58""}]",calc_20260702221624_38e4,,REWRITE,"[{""gate"": ""G1"", ""grade"": ""major"", ""detail"": ""본문 1767자 → 1800~2500자 필요"", ""priority"": 1}, {""gate"": ""G4"", ""grade"": ""major"", ""detail"": ""계산 예시 1개 → 최소 2개 필요"", ""priority"": 2}]",,2026-07-18 18:57:18,e45622cf,,,2026-07-18 18:58:07,,
20260718185800_cb5d,,발행완료,퇴직금 조건,2026 퇴직금 조건 완벽 분석,,2026년 최신 퇴직금 조건을 명확히 이해하고 계획하세요. 퇴직금 계산기를 활용하여 퇴직 후 재무 계획을 세워보세요.,"퇴직금 조건, 퇴직금 계산기, 2026 퇴직금",http://salarymate.test/2026-%ed%87%b4%ec%a7%81%ea%b8%88-%ec%a1%b0%ea%b1%b4-%ec%99%84%eb%b2%bd-%eb%b6%84%ec%84%9d/,2026-07-18 18:58:00,,,2026-07-18 18:58:00,,58,http://salarymate.test/2026-%ed%87%b4%ec%a7%81%ea%b8%88-%ec%a1%b0%ea%b1%b4-%ec%99%84%eb%b2%bd-%eb%b6%84%ec%84%9d/,publish,2026-07-18 18:57:59,"[{""event"": ""publish"", ""at"": ""2026-07-18T18:58:01.260720"", ""wp_post_id"": 58}]",calc_20260702221624_38e4,80,WARN,"[{""gate"": ""S5"", ""grade"": ""major"", ""detail"": ""고유 정보가 적고 일반론 위주"", ""priority"": 1}]",gpt-4o,2026-07-18 18:57:58,e45622cf,2026-07-19 3:00:38,OK,,,
20260719121049_20b4,,재처리완료,퇴직금 계산법,퇴직금 계산법 2026 완벽 이해,,2026년 퇴직금 계산법을 쉽게 이해하고 정확하게 계산하세요. 제공되는 최적의 도구로 퇴직금 산정을 빠르고 간단하게 수행해보세요.,"퇴직금 계산법 2026, 퇴직금 계산기, 2026년 퇴직금, 퇴직금 산정 방법",,2026-07-19 12:10:50,,,2026-07-19 12:11:58,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-19T12:10:51.200413"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""minor"", ""critical_gates"": [], ""prompt_version"": ""821ba5f3""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-19T12:12:00.779899"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""821ba5f3"", ""published_post_id"": ""59""}]",calc_20260702221624_38e4,,REWRITE,"[{""gate"": ""G7"", ""grade"": ""minor"", ""detail"": ""AI 문체 금지표현 1건: 알아보겠습니다"", ""priority"": 1}]",,2026-07-19 12:10:50,821ba5f3,,,2026-07-19 12:11:58,,
20260719121156_db4e,,발행완료,퇴직금 계산 방법,퇴직금 계산 방법 알아보기 2026,,2026년에 맞춘 최신 퇴직금 계산 방법을 통해 정확하게 퇴직금을 산출하세요. 퇴직금 산정에 필요한 정보를 제공합니다.,"퇴직금 계산 방법, 퇴직금 계산기 2026, 2026 퇴직금",http://salarymate.test/%ed%87%b4%ec%a7%81%ea%b8%88-%ea%b3%84%ec%82%b0-%eb%b0%a9%eb%b2%95-%ec%95%8c%ec%95%84%eb%b3%b4%ea%b8%b0-2026/,2026-07-19 12:11:56,,,2026-07-19 12:11:56,,59,http://salarymate.test/%ed%87%b4%ec%a7%81%ea%b8%88-%ea%b3%84%ec%82%b0-%eb%b0%a9%eb%b2%95-%ec%95%8c%ec%95%84%eb%b3%b4%ea%b8%b0-2026/,publish,2026-07-19 12:11:55,"[{""event"": ""publish"", ""at"": ""2026-07-19T12:11:57.592386"", ""wp_post_id"": 59}]",calc_20260702221624_38e4,84,WARN,"[{""gate"": ""S5"", ""grade"": ""major"", ""detail"": ""고유 정보가 적고 일반론 위주"", ""priority"": 1}]",gpt-4o,2026-07-19 12:11:54,821ba5f3,2026-07-20 3:00:27,OK,,,
20260719185855_fb31,,발행완료,연차수당 계산,2026 연차수당 계산기 안내,,2026년 연차수당을 정확히 계산해보세요. 연차수당 계산에 필요한 모든 정보를 제공하는 최고의 도구입니다.,"연차수당 계산, 2026 연차수당, 연차수당 계산 방법",http://salarymate.test/2026-%ec%97%b0%ec%b0%a8%ec%88%98%eb%8b%b9-%ea%b3%84%ec%82%b0%ea%b8%b0-%ec%95%88%eb%82%b4/,2026-07-19 18:58:55,,,2026-07-19 18:58:55,,60,http://salarymate.test/2026-%ec%97%b0%ec%b0%a8%ec%88%98%eb%8b%b9-%ea%b3%84%ec%82%b0%ea%b8%b0-%ec%95%88%eb%82%b4/,publish,2026-07-19 18:58:54,"[{""event"": ""publish"", ""at"": ""2026-07-19T18:58:56.402620"", ""wp_post_id"": 60}]",calc_20260702221626_303c,80,WARN,"[{""gate"": ""S5"", ""grade"": ""major"", ""detail"": ""고유 정보가 적고 일반론 위주"", ""priority"": 1}]",gpt-4o,2026-07-19 18:58:53,67bc5b26,2026-07-20 3:00:27,OK,,,
20260720061438_be60,,발행완료,연차수당 계산법,2026 연차수당 계산법 가이드,,2026년 연차수당 계산법에 대한 자세한 가이드를 제공합니다. 연차수당을 정확하게 계산하여 적절한 혜택을 받으세요.,"연차수당 계산법, 연차수당 2026, 연차수당 계산기, 2026 연차수당 계산",http://salarymate.test/2026-%ec%97%b0%ec%b0%a8%ec%88%98%eb%8b%b9-%ea%b3%84%ec%82%b0%eb%b2%95-%ea%b0%80%ec%9d%b4%eb%93%9c/,2026-07-20 6:14:39,,,2026-07-20 6:14:38,,61,http://salarymate.test/2026-%ec%97%b0%ec%b0%a8%ec%88%98%eb%8b%b9-%ea%b3%84%ec%82%b0%eb%b2%95-%ea%b0%80%ec%9d%b4%eb%93%9c/,publish,2026-07-20 6:14:37,"[{""event"": ""publish"", ""at"": ""2026-07-20T06:14:40.001678"", ""wp_post_id"": 61}]",calc_20260702221626_303c,87,WARN,"[{""gate"": ""S5"", ""grade"": ""major"", ""detail"": ""고유 정보가 적고 일반론 위주"", ""priority"": 1}]",gpt-4o,2026-07-20 6:14:36,67bc5b26,2026-07-21 3:00:17,OK,,,
20260720114808_b310,,발행완료,연차수당 계산법,2026 연차수당 계산법 알아보기,,최신 연차수당 계산법으로 2026년 연차수당을 정확히 계산하세요. 간편한 방법으로 급여를 예측해보세요.,"연차수당 계산법, 2026 연차수당, 연차수당 계산기",http://salarymate.test/2026-%ec%97%b0%ec%b0%a8%ec%88%98%eb%8b%b9-%ea%b3%84%ec%82%b0%eb%b2%95-%ec%95%8c%ec%95%84%eb%b3%b4%ea%b8%b0/,2026-07-20 11:48:08,,,2026-07-20 11:48:08,,62,http://salarymate.test/2026-%ec%97%b0%ec%b0%a8%ec%88%98%eb%8b%b9-%ea%b3%84%ec%82%b0%eb%b2%95-%ec%95%8c%ec%95%84%eb%b3%b4%ea%b8%b0/,publish,2026-07-20 11:48:06,"[{""event"": ""publish"", ""at"": ""2026-07-20T11:48:09.568894"", ""wp_post_id"": 62}]",calc_20260702221626_303c,80,WARN,"[{""gate"": ""S5"", ""grade"": ""major"", ""detail"": ""고유 정보가 적고 일반론 위주"", ""priority"": 1}]",gpt-4o,2026-07-20 11:47:38,67bc5b26,2026-07-21 3:00:17,OK,,,
20260721184632_a866,,발행완료,4대보험 계산,"2026 4대보험 계산, 최신 가이드",,2026년의 최신 4대보험 계산 방법을 알아보세요. 정확한 계산을 통해 합리적인 보험 플랜을 구성하세요.,"4대보험 계산, 2026 4대보험 계산, 보험 계산기, 4대보험 가이드",http://salarymate.test/2026-4%eb%8c%80%eb%b3%b4%ed%97%98-%ea%b3%84%ec%82%b0-%ec%b5%9c%ec%8b%a0-%ea%b0%80%ec%9d%b4%eb%93%9c/,2026-07-21 18:46:33,,,2026-07-21 18:46:32,,66,http://salarymate.test/2026-4%eb%8c%80%eb%b3%b4%ed%97%98-%ea%b3%84%ec%82%b0-%ec%b5%9c%ec%8b%a0-%ea%b0%80%ec%9d%b4%eb%93%9c/,publish,2026-07-21 18:46:31,"[{""event"": ""publish"", ""at"": ""2026-07-21T18:46:34.020625"", ""wp_post_id"": 66}]",calc_20260702221629_f9fa,84,WARN,"[{""gate"": ""S5"", ""grade"": ""major"", ""detail"": ""고유 정보가 적고 일반론 위주"", ""priority"": 1}]",gpt-4o,2026-07-21 18:46:12,068ff645,2026-07-22 3:00:11,OK,,,
20260722063021_f263,,재처리완료,4대보험 계산법,2026년 4대보험 계산법 가이드,,최신 2026년 기준 4대보험 계산법을 쉽게 이해하고 적용할 수 있는 가이드를 제공합니다. 정확한 보험료 계산을 위한 필수 정보와 방법을 알아보세요.,"4대보험 계산법 2026, 4대보험 계산기, 4대보험 계산 방법",,2026-07-22 6:30:21,,,2026-07-22 6:33:19,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-22T06:30:22.679842"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""major"", ""critical_gates"": [], ""prompt_version"": ""068ff645""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-22T06:33:21.347468"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""068ff645"", ""published_post_id"": ""67""}]",calc_20260702221629_f9fa,64,REWRITE,"[{""gate"": ""S5"", ""grade"": ""major"", ""detail"": ""고유 정보가 적고 일반론 위주"", ""priority"": 1}]",gpt-4o,2026-07-22 6:30:21,068ff645,,,2026-07-22 6:33:19,,
20260722063139_0309,,재처리완료,4대보험 계산 방법,2026년 4대보험 계산법 안내,,최신 가이드로 2026년 4대보험 계산 방법을 알아보세요. 복잡한 절차를 쉽게 이해할 수 있습니다.,"4대보험 계산 방법, 2026 4대보험, 4대보험 계산기",,2026-07-22 6:31:40,,,2026-07-22 6:33:22,,,,,,"[{""event"": ""quality_hold"", ""at"": ""2026-07-22T06:31:40.891281"", ""quality_status"": ""REWRITE"", ""retries"": 3, ""severity"": ""major"", ""critical_gates"": [], ""prompt_version"": ""068ff645""}, {""event"": ""quality_hold_released"", ""at"": ""2026-07-22T06:33:24.067647"", ""reason"": ""quality_signature_changed"", ""new_signature"": ""068ff645"", ""published_post_id"": ""67""}]",calc_20260702221629_f9fa,77,REWRITE,"[{""gate"": ""S5"", ""grade"": ""major"", ""detail"": ""고유 정보가 적고 일반론 위주"", ""priority"": 1}]",gpt-4o,2026-07-22 6:31:40,068ff645,,,2026-07-22 6:33:22,,
